MW109,HMI.PCB Outfeed Move to Tray Pickup PB,MW309,HMI.Lamp PCB Outfeed Move to Tray Pickup PB
MW110,HMI.PCB Outfeed Move to Tray Place PB,MW310,HMI.Lamp PCB Outfeed Move to Tray Place PB
MW111,HMI.PCB Outfeed Move to Home X Axis PB,MW311,HMI.Lamp PCB Outfeed Move to Home X Axis PB
MW112,HMI.PCB Outfeed New Tray PB,MW312,HMI.Lamp PCB Outfeed New Tray PB
MW120,HMI.PCB Inspect 1 Move to Idle PB,MW320,HMI.Lamp PCB Inspect 1 Move to Idle PB
MW121,HMI.PCB Inspect 1 Focus Position 1 PB,MW321,HMI.Lamp PCB Inspect 1 Focus Position 1 PB
MW122,HMI.PCB Inspect 1 Focus Position 2 PB,MW322,HMI.Lamp PCB Inspect 1 Focus Position 2 PB
MW123,HMI.PCB Inspect 1 Focus Position 3 PB,MW323,HMI.Lamp PCB Inspect 1 Focus Position 3 PB
MW124,HMI.PCB Inspect 1 Start Inspect PB,MW324,HMI.Lamp PCB Inspect 1 Start Inspect PB
MW125,HMI.PCB Inspect 1 Stop Sequence PB,MW325,HMI.Lamp PCB Inspect 1 Stop Sequence PB
MW130,HMI.PCB Inspect 2 Move to Idle PB,MW330,HMI.Lamp PCB Inspect 2 Move to Idle PB
MW131,HMI.PCB Inspect 2 Focus Position 1 PB,MW331,HMI.Lamp PCB Inspect 2 Focus Position 1 PB
MW132,HMI.PCB Inspect 2 Focus Position 2 PB,MW332,HMI.Lamp PCB Inspect 2 Focus Position 2 PB
MW133,HMI.PCB Inspect 2 Focus Position 3 PB,MW333,HMI.Lamp PCB Inspect 2 Focus Position 3 PB
MW134,HMI.PCB Inspect 2 Start Inspect PB,MW334,HMI.Lamp PCB Inspect 2 Start Inspect PB
MW135,HMI.PCB Inspect 2 Stop Sequence PB,MW335,HMI.Lamp PCB Inspect 2 Stop Sequence PB
